Question ID	Question Part	Choices Part	Choices Preview
----------------------------------------------------------------------------------------------------
Q1	Diagram             	Text                	The output of “Agree” is generated at all times wh...
Q2	Text                	Text                	$1111_2$ | $10000_2$ | $101111_2$ | $110111_2$...
Q3	Table               	Text                	0.05 | 0.25 | 0.50 | 0.80...
Q4	Text                	Text                	$\frac{1}{216}$ | $\frac{5}{72}$ | $\frac{91}{216}...
Q5	Text                	Text                	PIN code | Source code | Binary code | Character c...
Q6	Table               	Text                	$(units - 100) \times 10 + 100 \times 15$ | $(unit...
Q7	Table               	Unknown/Missing     	...
Q8	Table               	Diagram (Likely)    	1 | 3 | 6 | 8...
Q9	Diagram             	Diagram (Likely)    	1 | 2 | 4 | 5...
Q10	Diagram             	Text                	Decode, Read | Read, Decode | Read, Write | Write,...
Q11	Text                	Text                	The primary cache memory has larger capacity than ...
Q12	Text                	Text                	DRM | DVD | HDMI | SSD...
Q13	Text                	Text                	Between a 32-bit CPU and a 64-bit CPU, the length ...
Q14	Text                	Text                	It provides two (2) sets of systems that perform t...
Q15	Text                	Text                	A, B, C | A, D | B, C | C, D...
Q16	Diagram             	Text                	0.04 | 0.58 | 0.86 | 0.96...
Q17	Text                	Text                	Several computers connected via a network work tog...
Q18	Text                	Text                	BIOS, OS, resident application programs | OS, BIOS...
Q19	Text                	Text                	25 | 35 | 50 | 150...
Q20	Table               	Diagram (Likely)    	0 | 1 | 2 | 3...
Q21	Table               	Text                	Android | iOS | Safari | Windows...
Q22	Text                	Text                	Autocomplete | Source code | Plug and play | Macro...
Q23	Text                	Text                	DNS server | FTP server | Web server | Blade serve...
Q24	Diagram             	Text                	Digital signage | Virtual reality | Projection map...
Q25	Text                	Text                	BMP | GIF | JPEG | MPEG...
Q26	Table + Diagram     	Text                	Table a | Table b | Table c | Table d...
Q27	Text                	Text                	Providing redundancy to data in order to detect da...
Q28	Table               	Text                	“EmployeeNumber” | “EmployeeNumber” and “Departmen...
Q29	Text                	Text                	Commit is the reversion of a database to the statu...
Q30	Diagram             	Text                	a) | b) | c) | d)...
Q31	Text                	Text                	In response to a request from a client for the all...
