Question ID	Question Part	Choices Part	Choices Preview
----------------------------------------------------------------------------------------------------
Q1	Text                	Diagram (Likely)    	 |  |  | ...
Q2	Text                	Text                	00110001...
Q3	Text                	Multiline Text      	01111011 | 10000100 | 11000101  Which of the follo...
Q4	Text                	Multiline Text      	G multiplied by 10 to the power of 6 is T. | M mul...
Q5	Text                	Diagram (Likely)    	A...
Q6	Text                	Multiline Text      	B | D | E  At a certain company, employees get a m...
Q7	Text                	Multiline Text      	Data is extracted from an arbitrary location that ...
Q8	Table               	Multiline Text      	1  arr[i + 1] | 1  arr[i - 1] | 2  arr[i + 1] | 2 ...
Q9	Text                	Multiline Text      	It has a function for the creation and editing of ...
Q10	Text                	Text                	SSD | Cache memory | Virtual memory | Defragmentat...
Q11	Text                	Multiline Text      	It can run the same OS or the application software...
Q12	Text                	Multiline Text      	device driver  plug and play | device driver  plug...
Q13	Diagram             	Multiline Text      	Actuator  IoT gateway | Actuator  Sensor | Sensor ...
Q14	Text                	Multiline Text      	A, B, C | C, A, B  B  C | B, A, C | C, B, A...
Q15	Text                	Text                	Throughput | Flowchart | Defragmentation | Bottlen...
Q16	Text                	Multiline Text      	A | A, C | B  – 8 – | C  --- Page 9 ---...
Q17	Text                	Multiline Text      	It is a state in which the processes of a computer...
Q18	Diagram             	Multiline Text      	 | ../A/D/E/img.jpg ./A/D/E/img.jpg  B  D  C  E | ...
Q19	Text                	Text                	A full backup file on Sunday, incremental backup f...
Q20	Text                	Multiline Text      	Source code can be edited and then redistributed. ...
Q21	Text                	Text                	B2*B4+C2*C4+D2*D4 | B$2*B4+C$2*C4+D$2*D4 | $B2*B$4...
Q22	Text                	Multiline Text      	Equipping a CPU with multiple cores (arithmetic ci...
Q23	Text                	Multiline Text      	Performing wireless communication between devices ...
Q24	Text                	Text                	Indentation | Autofilter | Autocomplete | Hyperlin...
Q25	Text                	Text                	(1) | (2) | (3) | (4)...
Q26	Table               	Multiline Text      	A → B → C | B → A → C | A → C → B | B → C → A  – 1...
Q27	Table               	Multiline Text      	Purchase_number | Product_number  Product_ name  C...
Q28	Text                	Multiline Text      	When a transaction attempts to update shared data,...
Q29	Text                	Multiline Text      	To ensure that data is not accidentally modified n...
Q30	Text                	Multiline Text      	It is a protocol for the remote control of a compu...
Q31	Text                	Text                	Cookie | Online storage...
Q32	Text                	Multiline Text      	RAID | Crawler  Which of the following is the appr...
Q33	Text                	Multiline Text      	Block chain | 8K | MVNO | 5G  – 14 –  --- Page 15 ...
Q34	Text                	Multiline Text      	In order to reduce the load on IoT servers caused ...
Q35	Text                	Multiline Text      	Infection may affect not only the OS and applicati...
Q36	Text                	Multiline Text      	(ii)  Cross-site scripting  (iii)  Trojan horse  B...
Q37	Text                	Multiline Text      	Yes  No  Yes | No  Yes  No | No  No  Yes | ...
Q38	Text                	Multiline Text      	It becomes impossible to check that the e-mail is ...
Q39	Text                	Multiline Text      	In risk treatment, measures for the treatment of a...
Q40	Text                	Multiline Text      	It is possible to connect a device only to the Int...
Q41	Text                	Multiline Text      	Availability  Integrity  Confidentiality | Availab...
Q42	Text                	Multiline Text      	Reinstalling the web browser | Updating the malwar...
Q43	Text                	Multiline Text      	Common key cryptography  Public key cryptography  ...
Q44	Text                	Multiline Text      	Changing the server monitoring method as a correct...
Q45	Text                	Multiline Text      	It secretly establishes a route for intrusion in o...
Q46	Text                	Text                	Consistency with results of system integration tes...
Q47	Text                	Multiline Text      	It is a method for the estimation of person-hours ...
Q48	Text                	Multiline Text      	Program modifications that are requested by an ord...
Q49	Text                	Text                	The test is performed for all branches of the prog...
Q50	Text                	Multiline Text      	In order to get a clear image of the layout of the...
Q51	Text                	Multiline Text      	1 | 2 | 4  – 21 – | 6  --- Page 22 ---...
Q52	Text                	Multiline Text      	To consider where and what kind of problem is like...
Q53	Text                	Text                	A communication management plan | Evaluation stand...
Q54	Text                	Text                	EVM | RFP | SLA | WBS...
Q55	Text                	Multiline Text      	They are individuals and organizations such as use...
Q56	Diagram             	Multiline Text      	223  Processing type | 256 | 286  – 23 – | 406  --...
Q57	Text                	Multiline Text      	Development is performed in the order of planning,...
Q58	Text                	Text                	IT technical strategy management | IT project scop...
Q59	Text                	Multiline Text      	Asset management | Quality management system | Env...
Q60	Text                	Multiline Text      	Ensuring that activities are performed for migrati...
Q61	Text                	Text                	Department in charge of incident management | Depa...
Q62	Text                	Multiline Text      	In SLM, maintaining the service level that is agre...
Q63	Text                	Multiline Text      	It is a framework for the implementation of IT ser...
Q64	Text                	Multiline Text      	(i), (ii)  (iii), (iv) | (i), (iii)  (ii), (iv) | ...
Q65	Text                	Multiline Text      	CMMI | Internal control | ITIL | Risk management  ...
Q66	Text                	Text                	4 | 6 | 8 | 10...
Q67	Text                	Multiline Text      	Rule that defines the management organization and ...
Q68	Table               	Multiline Text      	8,500  Store C  Store D  Warehouse A  400  200  Wa...
Q69	Text                	Multiline Text      	Glass ceiling | White collar exemption | Diversity...
Q70	Text                	Text                	ABC analysis | Environmental assessment...
Q71	Text                	Multiline Text      	SWOT analysis | Risk assessment  Which of the foll...
Q72	Table               	Multiline Text      	2,400 | 2,500 | 4,800  700 yen | 6,000...
Q73	Text                	Multiline Text      	Right to use the program stored in the CD-ROM | Co...
Q74	Text                	Text                	Shareware | Public domain software | Package softw...
Q75	Text                	Text                	Connecting two controllers to one home video game ...
Q76	Text                	Text                	The code can contain only single-byte alphanumeric...
